wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,date,menu_item,quantity,is_event_day,is_weekend
0,32,0,2,2,6,0,6,2024-01-01,16pc Tender Pack,2,0,0
0,10,2,0,0,2,2,2,2024-01-01,5pc Tender Combo,2,0,0
16,0,2,0,0,2,2,4,2024-01-01,8pc Wing Combo,2,0,0
16,0,2,0,0,2,2,4,2024-01-01,8pc Wing Combo,2,0,0
12,0,2,0,0,2,2,4,2024-01-01,6pc Wing Combo,2,0,0
30,0,0,0,0,0,0,4,2024-01-01,15 Wings,2,0,0
0,5,1,0,0,1,1,1,2024-01-01,5pc Tender Combo,1,0,0
0,24,0,3,3,6,6,6,2024-01-01,8pc Tender Meal for 2,3,0,0
12,0,2,0,0,2,2,4,2024-01-01,6pc Wing Combo,2,0,0
150,0,0,0,0,0,0,10,2024-01-01,75 Wings,2,0,0
30,0,0,0,0,0,0,4,2024-01-01,15 Wings,2,0,0
20,0,2,0,0,2,2,4,2024-01-01,10pc Wing Combo,2,0,0
16,0,2,0,0,2,2,4,2024-01-01,8pc Wing Combo,2,0,0
16,0,2,0,0,2,2,4,2024-01-01,8pc Wing Combo,2,0,0
45,0,0,3,3,6,6,6,2024-01-01,15pc Meal for 2,3,0,0
0,9,3,0,0,3,3,3,2024-01-01,3pc Tender Combo,3,0,0
60,0,0,2,2,6,0,6,2024-01-01,30pc Crew Pack,2,0,0
45,0,0,3,3,6,6,6,2024-01-01,15pc Meal for 2,3,0,0
0,5,1,0,0,1,1,1,2024-01-01,5pc Tender Combo,1,0,0
16,0,2,0,0,2,2,4,2024-01-01,8pc Wing Combo,2,0,0
15,0,0,1,1,2,2,2,2024-01-01,15pc Meal for 2,1,0,0
24,0,0,1,1,3,0,3,2024-01-01,24pc Family Pack,1,0,0
100,0,0,4,4,8,0,8,2024-01-01,50pc Party Pack,2,0,0
30,0,0,0,0,0,0,6,2024-01-01,10 Wings,3,0,0
8,0,1,0,0,1,1,2,2024-01-01,8pc Wing Combo,1,0,0
200,0,0,8,8,16,0,12,2024-01-01,100pc Pack,2,0,0
0,3,1,0,0,1,1,1,2024-01-01,3pc Tender Combo,1,0,0
6,0,1,0,0,1,1,2,2024-01-01,6pc Wing Combo,1,0,0
0,5,1,0,0,1,1,1,2024-01-01,5pc Tender Combo,1,0,0
8,0,1,0,0,1,1,2,2024-01-01,8pc Wing Combo,1,0,0
18,0,3,0,0,3,3,6,2024-01-01,6pc Wing Combo,3,0,0
50,0,0,0,0,0,0,4,2024-01-01,50 Wings,1,0,0
75,0,0,0,0,0,0,5,2024-01-01,75 Wings,1,0,0
10,0,0,0,0,0,0,2,2024-01-01,10 Wings,1,0,0
45,0,0,3,3,6,6,6,2024-01-01,15pc Meal for 2,3,0,0
6,0,1,0,0,1,1,2,2024-01-01,6pc Wing Combo,1,0,0
0,8,0,1,1,2,2,2,2024-01-01,8pc Tender Meal for 2,1,0,0
90,0,0,3,3,9,0,9,2024-01-01,30pc Crew Pack,3,0,0
24,0,3,0,0,3,3,6,2024-01-01,8pc Wing Combo,3,0,0
225,0,0,9,9,18,0,15,2024-01-01,75pc Pack,3,0,0
6,0,1,0,0,1,1,2,2024-01-01,6pc Wing Combo,1,0,0
60,0,0,0,0,0,0,9,2024-01-01,20 Wings,3,0,0
30,0,3,0,0,3,3,6,2024-01-01,10pc Wing Combo,3,0,0
0,8,0,1,1,2,2,2,2024-01-01,8pc Tender Meal for 2,1,0,0
48,0,0,2,2,6,0,6,2024-01-02,24pc Family Pack,2,0,0
16,0,2,0,0,2,2,4,2024-01-02,8pc Wing Combo,2,0,0
45,0,0,0,0,0,0,6,2024-01-02,15 Wings,3,0,0
0,10,2,0,0,2,2,2,2024-01-02,5pc Tender Combo,2,0,0
45,0,0,3,3,6,6,6,2024-01-02,15pc Meal for 2,3,0,0
6,0,1,0,0,1,1,2,2024-01-02,6pc Wing Combo,1,0,0
45,0,0,3,3,6,6,6,2024-01-02,15pc Meal for 2,3,0,0
30,0,0,2,2,4,4,4,2024-01-02,15pc Meal for 2,2,0,0
0,16,0,1,1,3,0,3,2024-01-02,16pc Tender Pack,1,0,0
0,5,1,0,0,1,1,1,2024-01-02,5pc Tender Combo,1,0,0
20,0,0,0,0,0,0,3,2024-01-02,20 Wings,1,0,0
150,0,0,6,6,12,0,12,2024-01-02,50pc Party Pack,3,0,0
16,0,2,0,0,2,2,4,2024-01-02,8pc Wing Combo,2,0,0
0,8,0,1,1,2,2,2,2024-01-02,8pc Tender Meal for 2,1,0,0
0,24,0,2,2,4,0,4,2024-01-02,24pc Tender Pack,1,0,0
0,3,1,0,0,1,1,1,2024-01-02,3pc Tender Combo,1,0,0
0,72,0,6,6,12,0,12,2024-01-02,24pc Tender Pack,3,0,0
225,0,0,9,9,18,0,15,2024-01-02,75pc Pack,3,0,0
0,6,2,0,0,2,2,2,2024-01-02,3pc Tender Combo,2,0,0
90,0,0,3,3,9,0,9,2024-01-02,30pc Crew Pack,3,0,0
6,0,1,0,0,1,1,2,2024-01-02,6pc Wing Combo,1,0,0
12,0,2,0,0,2,2,4,2024-01-02,6pc Wing Combo,2,0,0
6,0,1,0,0,1,1,2,2024-01-02,6pc Wing Combo,1,0,0
0,5,1,0,0,1,1,1,2024-01-02,5pc Tender Combo,1,0,0
45,0,0,3,3,6,6,6,2024-01-02,15pc Meal for 2,3,0,0
200,0,0,8,8,16,0,12,2024-01-02,100pc Pack,2,0,0
60,0,0,0,0,0,0,9,2024-01-02,20 Wings,3,0,0
30,0,3,0,0,3,3,6,2024-01-02,10pc Wing Combo,3,0,0
48,0,0,2,2,6,0,6,2024-01-02,24pc Family Pack,2,0,0
0,24,0,2,2,4,0,4,2024-01-02,24pc Tender Pack,1,0,0
10,0,1,0,0,1,1,2,2024-01-02,10pc Wing Combo,1,0,0
12,0,2,0,0,2,2,4,2024-01-02,6pc Wing Combo,2,0,0
15,0,0,1,1,2,2,2,2024-01-02,15pc Meal for 2,1,0,0
16,0,2,0,0,2,2,4,2024-01-02,8pc Wing Combo,2,0,0
60,0,0,0,0,0,0,6,2024-01-02,30 Wings,2,0,0
30,0,0,0,0,0,0,6,2024-01-02,10 Wings,3,0,0
0,10,2,0,0,2,2,2,2024-01-02,5pc Tender Combo,2,0,0
45,0,0,0,0,0,0,6,2024-01-02,15 Wings,3,0,0
10,0,0,0,0,0,0,2,2024-01-02,10 Wings,1,0,0
10,0,1,0,0,1,1,2,2024-01-03,10pc Wing Combo,1,0,0
100,0,0,0,0,0,0,6,2024-01-03,100 Wings,1,0,0
72,0,0,3,3,9,0,9,2024-01-03,24pc Family Pack,3,0,0
18,0,3,0,0,3,3,6,2024-01-03,6pc Wing Combo,3,0,0
15,0,0,1,1,2,2,2,2024-01-03,15pc Meal for 2,1,0,0
0,5,1,0,0,1,1,1,2024-01-03,5pc Tender Combo,1,0,0
0,24,0,3,3,6,6,6,2024-01-03,8pc Tender Meal for 2,3,0,0
0,9,3,0,0,3,3,3,2024-01-03,3pc Tender Combo,3,0,0
90,0,0,3,3,9,0,9,2024-01-03,30pc Crew Pack,3,0,0
0,6,2,0,0,2,2,2,2024-01-03,3pc Tender Combo,2,0,0
0,3,1,0,0,1,1,1,2024-01-03,3pc Tender Combo,1,0,0
18,0,3,0,0,3,3,6,2024-01-03,6pc Wing Combo,3,0,0
24,0,0,1,1,3,0,3,2024-01-03,24pc Family Pack,1,0,0
20,0,2,0,0,2,2,4,2024-01-03,10pc Wing Combo,2,0,0
20,0,0,0,0,0,0,4,2024-01-03,10 Wings,2,0,0
150,0,0,6,6,12,0,12,2024-01-03,50pc Party Pack,3,0,0
32,12,0,2,0,6,0,8,2024-01-03,Game Night Bundle,2,0,0
24,0,0,1,1,3,0,3,2024-01-03,24pc Family Pack,1,0,0
30,0,0,0,0,0,0,6,2024-01-03,10 Wings,3,0,0
10,0,0,0,0,0,0,2,2024-01-03,10 Wings,1,0,0
8,0,1,0,0,1,1,2,2024-01-03,8pc Wing Combo,1,0,0
200,0,0,8,8,16,0,12,2024-01-03,100pc Pack,2,0,0
0,16,0,2,2,4,4,4,2024-01-03,8pc Tender Meal for 2,2,0,0
30,0,0,0,0,0,0,4,2024-01-03,15 Wings,2,0,0
30,0,0,2,2,4,4,4,2024-01-03,15pc Meal for 2,2,0,0
20,0,2,0,0,2,2,4,2024-01-03,10pc Wing Combo,2,0,0
0,24,0,3,3,6,6,6,2024-01-03,8pc Tender Meal for 2,3,0,0
10,0,0,0,0,0,0,2,2024-01-03,10 Wings,1,0,0
15,0,0,1,1,2,2,2,2024-01-03,15pc Meal for 2,1,0,0
6,0,1,0,0,1,1,2,2024-01-03,6pc Wing Combo,1,0,0
30,0,0,0,0,0,0,3,2024-01-03,30 Wings,1,0,0
48,0,0,2,2,6,0,6,2024-01-03,24pc Family Pack,2,0,0
0,3,1,0,0,1,1,1,2024-01-03,3pc Tender Combo,1,0,0
45,0,0,0,0,0,0,6,2024-01-03,15 Wings,3,0,0
0,24,0,3,3,6,6,6,2024-01-03,8pc Tender Meal for 2,3,0,0
0,16,0,1,1,3,0,3,2024-01-03,16pc Tender Pack,1,0,0
10,0,1,0,0,1,1,2,2024-01-03,10pc Wing Combo,1,0,0
0,9,3,0,0,3,3,3,2024-01-03,3pc Tender Combo,3,0,0
0,24,0,3,3,6,6,6,2024-01-03,8pc Tender Meal for 2,3,0,0
20,0,2,0,0,2,2,4,2024-01-03,10pc Wing Combo,2,0,0
24,0,3,0,0,3,3,6,2024-01-03,8pc Wing Combo,3,0,0
32,12,0,2,0,6,0,8,2024-01-03,Game Night Bundle,2,0,0
200,0,0,8,8,16,0,12,2024-01-03,100pc Pack,2,0,0
20,0,2,0,0,2,2,4,2024-01-03,10pc Wing Combo,2,0,0
32,12,0,2,0,6,0,8,2024-01-03,Game Night Bundle,2,0,0
150,0,0,0,0,0,0,10,2024-01-03,75 Wings,2,0,0
0,5,1,0,0,1,1,1,2024-01-04,5pc Tender Combo,1,0,0
10,0,0,0,0,0,0,2,2024-01-04,10 Wings,1,0,0
225,0,0,9,9,18,0,15,2024-01-04,75pc Pack,3,0,0
0,6,2,0,0,2,2,2,2024-01-04,3pc Tender Combo,2,0,0
225,0,0,9,9,18,0,15,2024-01-04,75pc Pack,3,0,0
8,0,1,0,0,1,1,2,2024-01-04,8pc Wing Combo,1,0,0
0,32,0,2,2,6,0,6,2024-01-04,16pc Tender Pack,2,0,0
30,0,3,0,0,3,3,6,2024-01-04,10pc Wing Combo,3,0,0
12,0,2,0,0,2,2,4,2024-01-04,6pc Wing Combo,2,0,0
0,15,3,0,0,3,3,3,2024-01-04,5pc Tender Combo,3,0,0
16,0,2,0,0,2,2,4,2024-01-04,8pc Wing Combo,2,0,0
30,0,0,0,0,0,0,3,2024-01-04,30 Wings,1,0,0
50,0,0,0,0,0,0,4,2024-01-04,50 Wings,1,0,0
40,0,0,0,0,0,0,6,2024-01-04,20 Wings,2,0,0
72,0,0,3,3,9,0,9,2024-01-04,24pc Family Pack,3,0,0
6,0,1,0,0,1,1,2,2024-01-04,6pc Wing Combo,1,0,0
30,0,0,0,0,0,0,3,2024-01-04,30 Wings,1,0,0
30,0,0,1,1,3,0,3,2024-01-04,30pc Crew Pack,1,0,0
150,0,0,0,0,0,0,10,2024-01-04,75 Wings,2,0,0
