model_type,p,d,q,s,AIC,BIC,Val_MAE,log_transformed,P,D,Q
ARIMA,3,2,0,0,771.7883158581284,786.5644329073416,75.14435527314569,False,,,
ExpSmoothing,0,0,0,7,589.7542867915822,613.328768781889,79.69396569497158,False,,,
ARIMA,0,2,0,0,829.8670563963469,838.3105518530401,79.8776355224881,False,,,
ARIMA,2,0,3,0,753.0886599867192,774.5200072506345,80.19992426107525,False,,,
ARIMA,3,1,1,0,743.9377328563968,760.9548079367576,80.51483248688591,False,,,
ARIMA,0,1,2,0,743.8543687518213,756.6171750620919,80.81228125069873,False,,,
ARIMA,1,1,1,0,743.8775954320449,756.6404017423155,80.86289256808783,False,,,
ARIMA,2,1,1,0,745.0088642193739,759.8988049146895,80.99079914589338,False,,,
ARIMA,0,1,3,0,744.6248108370816,759.5147515323972,80.99315078922976,False,,,
ARIMA,0,1,1,0,741.9456071968825,752.581279122108,81.0360251800105,False,,,
ARIMA,0,0,1,0,750.4799930929759,763.338801451325,81.23694280732862,False,,,
ARIMA,3,0,0,0,750.7526763194246,767.8977541305569,81.24397286321184,False,,,
ARIMA,1,0,0,0,750.4865993228069,763.3454076811561,81.25686947147835,False,,,
ARIMA,2,0,0,0,751.3701112373901,766.3720543221308,81.31259762643745,False,,,
ARIMA,0,0,2,0,751.0524800725572,766.0544231572978,81.50379775035839,False,,,
ARIMA,3,0,1,0,752.7531721110441,772.0413846485679,81.62570003033768,False,,,
ARIMA,0,0,3,0,749.5097324294044,766.6548102405367,82.95976230260334,False,,,
ARIMA,1,0,3,0,751.5182835347247,770.8064960722485,83.17544983561493,False,,,
ARIMA,0,2,2,0,742.8550261860199,755.5202693710598,83.84063700540497,False,,,
ARIMA,0,2,3,0,744.679226164296,759.4553432135092,83.91508129382919,False,,,
ARIMA,1,2,2,0,744.7262887657329,759.5024058149461,83.91919479103973,False,,,
ARIMA,3,0,3,0,752.0995367475191,775.6740187378259,86.14777933920936,False,,,
ARIMA,2,1,0,0,750.4408839453673,763.2036902556379,86.3406373608201,False,,,
ARIMA,1,1,2,0,741.3496552725175,756.2395959678331,86.9199418004211,False,,,
ARIMA,1,0,1,0,748.037557271266,763.0395003560067,87.01855714161233,False,,,
ARIMA,3,0,2,0,752.9089099953474,774.3402572592627,88.01074038142846,False,,,
ARIMA,1,1,3,0,742.7220373246927,759.7391124050534,88.06037272848516,False,,,
ARIMA,2,1,2,0,742.631329002395,759.6484040827557,88.27360733514612,False,,,
ARIMA,1,0,2,0,749.1785349508959,766.3236127620282,88.328514989853,False,,,
ARIMA,2,0,2,0,751.0890870296575,770.3772995671814,88.4160349125246,False,,,
ARIMA,3,1,2,0,744.5806294350864,763.7248389004922,88.4357355001797,False,,,
SARIMA,0,1,1,7,685.5327322278783,699.5840645245056,88.44426567037141,False,1.0,1.0,1.0
SARIMA,1,1,1,7,687.4794019403232,703.538067422183,88.44684672875115,False,1.0,1.0,1.0
ARIMA,2,1,3,0,744.6218685896827,763.7660780550884,88.48812376433943,False,,,
ARIMA,2,0,1,0,749.0922041999062,766.2372820110385,88.57296818915442,False,,,
SARIMA,0,1,1,7,683.6556102981942,695.699609409589,88.6633472324223,False,0.0,1.0,1.0
SARIMA,1,1,1,7,685.5689032527094,699.6202355493367,88.66630261294505,False,0.0,1.0,1.0
ARIMA,3,1,3,0,746.6205754653283,767.8919193157792,88.94429902912842,False,,,
ARIMA,2,2,1,0,747.0706414701032,761.8467585193164,89.30858786367094,False,,,
ARIMA,3,2,2,0,749.8453886285337,768.8432534060935,89.61588756903673,False,,,
ARIMA,1,2,3,0,742.1698241488805,759.056815062267,89.97513150266713,False,,,
ARIMA,3,1,0,0,749.7306351861192,764.6205758814349,90.28877268569498,False,,,
ARIMA,2,2,3,0,743.5236794941368,762.5215442716966,90.35807430467261,False,,,
ARIMA,3,2,3,0,745.5336229271161,766.6423615688492,91.18674771449895,False,,,
ARIMA,2,2,2,0,745.0430400042051,761.9300309175916,94.03961731416405,False,,,
SARIMA,1,0,1,7,687.8224728299595,704.0252863558406,94.9850737478245,False,1.0,1.0,1.0
SARIMA,1,0,1,7,685.8875099379488,700.0649717730948,95.20623428739984,False,0.0,1.0,1.0
ARIMA,3,2,1,0,746.7813562522767,763.6683471656632,95.20725680266796,False,,,
ARIMA,0,1,0,0,777.5287001357063,786.0372376758867,95.54517677852591,False,,,
ARIMA,1,1,0,0,767.5042427739306,778.1399146991561,97.32010824193449,False,,,
ARIMA,0,2,1,0,772.2078844448849,782.7622537657514,99.78690048766605,False,,,
ARIMA,1,2,1,0,763.068211163036,775.733454348076,101.85689512451316,False,,,
ARIMA,2,2,0,0,780.3089913594002,792.9742345444402,245.98143577917313,False,,,
ARIMA,1,2,0,0,808.9563805165117,819.5107498373782,357.4812571541498,False,,,
