delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2024-01-13,4571,628,144,108,106,388,184,709,2024,1,5,0,1,2,winter,6838,0.668470312957005,0.7603100321731501,0.05235448961684703,0.02690845276396607,4682.0,5225.0,623.0,577.0,7173.0,7604.0,7727.25,422.8735035444996,0.025166624509753023,False
2024-01-15,4124,614,146,111,103,407,218,680,2024,1,0,1,0,3,winter,6403,0.6440730907387162,0.7399656411057317,0.05622364516632828,0.03404654068405435,4571.0,4682.0,628.0,623.0,6838.0,7173.0,7281.0,325.8009361558064,0.00921584620924857,False
2024-01-20,4614,652,116,137,128,440,148,691,2024,1,5,0,1,3,winter,6926,0.666185388391568,0.7603234190008663,0.05501010684377707,0.021368755414380596,4124.0,4571.0,614.0,628.0,6403.0,6838.0,7004.5,452.6091028691313,0.00817567750740938,False
2024-01-22,3344,623,105,120,112,399,161,572,2024,1,0,1,0,4,winter,5436,0.6151582045621781,0.7297645327446652,0.06199411331861663,0.02961736571008094,4614.0,4124.0,652.0,614.0,6926.0,6403.0,6835.0,253.32242301067595,0.010730986375255557,False
2024-01-27,3718,754,154,129,119,467,246,703,2024,1,5,0,1,4,winter,6290,0.5910969793322735,0.7109697933227345,0.06391096979332274,0.03910969793322735,3344.0,4614.0,623.0,652.0,5436.0,6926.0,6400.75,589.3914234191059,0.05445035096854794,True
2024-01-29,3892,820,138,138,128,474,182,688,2024,1,0,1,0,5,winter,6460,0.6024767801857586,0.7294117647058823,0.06253869969040247,0.028173374613003097,3718.0,3344.0,754.0,623.0,6290.0,5436.0,6263.75,545.3537078508465,0.0125850732656146,False
2024-02-03,5599,636,146,153,152,494,212,823,2024,2,5,0,1,5,winter,8215,0.6815581253804017,0.7589774802191114,0.0548995739500913,0.025806451612903226,3892.0,3718.0,820.0,754.0,6460.0,6290.0,6278.0,532.8739688394119,0.01085753046126997,False
2024-02-05,4166,650,90,139,132,416,180,628,2024,2,0,1,0,6,winter,6401,0.6508358069051711,0.7523824402437119,0.05639743790032807,0.028120606155288237,5599.0,3892.0,636.0,820.0,8215.0,6460.0,6600.25,1000.31207630419,0.023466679391815966,False
2024-02-10,4470,979,130,163,153,521,196,771,2024,2,5,0,1,6,winter,7383,0.6054449410808614,0.7380468644182582,0.060409047812542326,0.026547473926588107,4166.0,5599.0,650.0,636.0,6401.0,8215.0,6841.5,856.9108763459591,0.013960671363237889,False
2024-02-12,5246,735,180,140,137,508,260,830,2024,2,0,1,0,7,winter,8036,0.6528123444499752,0.7442757590841215,0.056869089099054256,0.03235440517670483,4470.0,4166.0,979.0,650.0,7383.0,6401.0,7114.75,749.641858934429,0.007119223966426686,False
